NU_ANO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MODALIDADE;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO;NU_ANO;NT_GER;NT_FG;NT_CE_D1;NT_CE_D2;NT_CE_D3;TP_SEXO;NU_IDADE;QE_I01;QE_I02;QE_I04;QE_I05;QE_I08;QE_I10;QE_I11;QE_I14;QE_I15;QE_I23;QE_I25;QE_I26
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;B;D;B;D;B;D;A;A;B;C;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;C;D;C;E;B;D;A;A;D;C;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;C;D;C;E;B;D;A;A;D;C;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;C;D;C;E;B;D;A;A;D;C;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;C;D;D;E;B;D;A;A;D;C;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;19;E;D;D;E;C;E;A;A;E;D;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;E;F;D;F;C;E;A;E;E;D;H;F
2021;23;25352;1;10028;2001;1;5107602;51;5;2021;0;0;0;0;0;F;20;;;;;;;;;;;;
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;18;A;A;A;A;A;A;A;A;A;B;A;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;A;A;A;A;A;A;B;A;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;B;A;A;A;A;A;B;A;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;A;A;B;A;B;A;A;A;B;A;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;B;A;B;A;A;A;B;C;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;B;A;C;A;A;A;B;D;A
2021;24;25352;1;10028;3002;1;5107602;51;5;2021;0;0;0;0;0;F;20;A;B;B;B;B;C;A;A;A;B;E;A
