NU_ANO,CO_CURSO,TP_SEXO
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,F
2021,6,M
2021,6,M
2021,6,M
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,F
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,19,M
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,F
2021,23,M
2021,23,M
2021,24,F
2021,24,F
2021,24,F
2021,24,F
2021,24,F
2021,24,F
2021,24,F
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,24,M
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,F
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,25,M
2021,26,F
2021,26,F
2021,26,F
2021,26,F
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,26,M
2021,27,F
2021,27,F
2021,27,F
2021,27,F
2021,27,M
2021,27,M
2021,27,M
2021,27,M
2021,27,M
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,F
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,29,M
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,F
2021,32,M
2021,32,M
2021,32,M
2021,32,M
2021,32,M
2021,32,M
2021,34,F
2021,34,F
2021,34,F
2021,34,F
2021,34,F
2021,34,F
2021,34,F
2021,34,F
2021,34,M
2021,34,M
2021,34,M
2021,34,M
2021,34,M
2021,34,M
2021,36,F
2021,36,F
2021,36,F
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,36,M
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,F
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,127,M
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,F
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,133,M
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,F
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,142,M
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
2021,150,F
